"location_KEY","location"
"1","Garzashire"
"2","West Kristinville"
"3","Sarahview"
"4","Ortizville"
"5","Williamsfurt"
"6","Port Stacystad"
"7","Micheleton"
"8","Edwardtown"
"9","Fryemouth"
"10","Lake Matthewmouth"
"11","Russellberg"
"12","Moraborough"
"13","Sweeneyton"
"14","Clinefurt"
"15","Hoffmanville"
"16","West Elizabethshire"
"17","Port Christopher"
"18","West Kevin"
"19","Port Krystalland"
"20","Colemanborough"
"21","Ricardofurt"
"22","Rossfort"
"23","West Kristina"
"24","South Jenniferburgh"
"25","Alexandermouth"
"26","South Sarahmouth"
"27","New Mikebury"
"28","Markside"
"29","North Lisa"
"30","New Jamesfort"
"31","Justinmouth"
"32","Lake Mary"
"33","Port Thomas"
"34","Ryanmouth"
"35","Lake Bethstad"
"36","Rogersview"
"37","New Alice"
"38","Burkemouth"
"39","Melissafurt"
"40","North Carolyn"
"41","North Sabrinaport"
"42","South Vanessaberg"
"43","Port Jason"
"44","Mcclainborough"
"45","Port Codymouth"
"46","Ayershaven"
"47","East Cindyborough"
"48","Buckmouth"
"49","Robertview"
"50","Lindamouth"
"51","North Erin"
"52","Matthewbury"
"53","Lake Stephanieberg"
"54","East Garyhaven"
"55","Tinaside"
"56","Guzmanmouth"
"57","Port Jonathanshire"
"58","New Amanda"
"59","Susanstad"
"60","Gonzalezfort"
"61","Kayleeville"
"62","East Cynthiafurt"
"63","South Thomasmouth"
"64","Devonview"
"65","Erikabury"
"66","South Wandamouth"
"67","West Jessica"
"68","New Aarontown"
"69","Starkberg"
"70","East Christopherview"
"71","Alanbury"
"72","Mendezfort"
"73","South Frederickland"
"74","East David"
"75","Port Steven"
"76","New Adam"
"77","New Michelle"
"78","West Amber"
"79","North Brittany"
"80","Williamston"
"81","East Tina"
"82","Browntown"
"83","New Linda"
"84","Chenville"
"85","Lake James"
"86","North Timothymouth"
"87","Lake Christopherchester"
"88","North Ashley"
"89","East Christinaport"
"90","Phillipport"
"91","Lake Jessica"
"92","East Brooke"
"93","Lake Deborah"
"94","Parkermouth"
"95","North Allisonberg"
"96","Lake William"
"97","New Haileybury"
"98","Andersonfort"
"99","Robertberg"
"100","Josefurt"
"101","Port Ericachester"
"102","New Richard"
"103","Walkerchester"
"104","Port Robertstad"
"105","Johnstonstad"
"106","Erinfort"
"107","Hunterstad"
"108","Derekborough"
"109","West Traci"
"110","East Nicole"
"111","Lake Jennifermouth"
"112","West Alicia"
"113","Johnsonborough"
"114","South Jonathan"
"115","Port Christinebury"
"116","East Christopher"
"117","West Patrick"
"118","Kristenland"
"119","New Gregorymouth"
"120","South Hunterfort"
"121","South Robert"
"122","New Jennifershire"
"123","West Christine"
"124","Robertfort"
"125","Dicksonmouth"
"126","Port Anthony"
"127","West Rebecca"
"128","Port Kevin"
"129","East Ritaland"
"130","Stevenmouth"
"131","South Juan"
"132","Ramosfort"
"133","Harrisside"
"134","Charlesland"
