transaction_id,customer_id,transaction_date,transaction_type,amount,balance_after,merchant_category,location,description,channel,currency,status
TXN_00000001,CUST_001767,2024-02-27 03:51:56,Purchase,-146.96,26337.01834,Grocery,Garzashire,Present talk main south fly away.,ATM,USD,Completed
TXN_00000002,CUST_002285,2024-09-24 03:18:44,Purchase,-21.83,42801.9994,Shopping,West Kristinville,Another them TV something world meeting lead.,Online,USD,Completed
TXN_00000003,CUST_000159,2025-06-01 02:45:35,Withdrawal,-181.36,42521.37912,Shopping,Sarahview,Teacher PM piece consider special politics.,Online,USD,Failed
TXN_00000004,CUST_000912,2024-05-29 05:47:41,Payment,-251.55,29015.6374,Gas,Ortizville,Ok mother benefit career that drug concern.,Mobile App,USD,Completed
TXN_00000005,CUST_001785,2025-01-04 16:15:29,Payment,-95.01,14320.50897,Transfer,Williamsfurt,Often general today require behind role to.,Online,USD,Completed
TXN_00000006,CUST_000716,2024-09-14 13:47:13,Purchase,-20.53,29376.99945,Restaurant,Port Stacystad,By field realize then month entire month.,Mobile App,USD,Completed
TXN_00000007,CUST_003213,2024-12-08 23:01:35,Purchase,-124.93,2364.628037,Shopping,Micheleton,Third ball prepare tend ask.,Online,USD,Completed
TXN_00000008,CUST_003967,2024-01-15 17:11:37,Withdrawal,-145.71,3833.797411,Gas,Edwardtown,American allow health resource.,Branch,USD,Completed
TXN_00000009,CUST_002383,2024-02-01 13:44:28,Transfer,-161.87,35989.98177,Shopping,Fryemouth,Movie them yeah performance authority team west.,Online,USD,Completed
TXN_00000010,CUST_003072,2024-10-01 13:43:23,Withdrawal,-204.5,14062.38442,Shopping,Lake Matthewmouth,Magazine natural goal fish political.,Online,USD,Completed
TXN_00000011,CUST_001274,2024-07-20 15:31:09,Deposit,1381.38,37145.05771,Grocery,Russellberg,Value hair themselves impact cut whether design.,Branch,USD,Completed
TXN_00000012,CUST_003275,2024-12-05 10:01:55,Payment,-301.11,9066.106671,Transfer,Moraborough,Rate part open.,Online,USD,Completed
TXN_00000013,CUST_003735,2024-08-06 23:05:33,Withdrawal,-205.73,40559.17899,Entertainment,Sweeneyton,Expect hundred ball raise response.,Mobile App,USD,Completed
TXN_00000014,CUST_004946,2025-04-12 13:37:27,Withdrawal,-125.29,49028.79637,Gas,Clinefurt,Term pick ok month stop real father.,Branch,USD,Completed
TXN_00000015,CUST_000548,2025-07-15 06:49:34,Deposit,2084.52,4918.078581,Transfer,Hoffmanville,Tough national anyone operation will.,ATM,USD,Completed
